Model,Threshold,delta,power (W),Hours in Use
Model 2,11,1,0.4,11.69063889
Model 2,11,1,0.5,9.372944444
Model 2,12,1,0.2,20.64841667
Model 2,12,1,0.3,13.80047222
Model 2,12,1,0.4,10.37775
Model 2,12,1,0.5,8.322222222
Model 2,13,1,0.2,18.06869444
Model 2,13,1,0.3,12.07913889
Model 2,13,1,0.4,9.085666667
Model 2,13,1,0.5,7.288305556
Model 2,14,1,0.2,15.59969444
Model 2,14,1,0.3,10.43147222
Model 2,14,1,0.4,7.848694444
Model 2,14,1,0.5,6.296194444
Model 2,15,1,0.2,13.23744444
Model 2,15,1,0.3,8.854916667
Model 2,15,1,0.4,6.664138889
Model 2,15,1,0.5,5.3485
Model 2,10,1.2,0.2,26.43163889
Model 2,10,1.2,0.3,17.65686111
Model 2,10,1.2,0.4,13.27080556
Model 2,10,1.2,0.5,10.6385
Model 2,11,1.2,0.2,23.78736111
Model 2,11,1.2,0.3,15.89333333
Model 2,11,1.2,0.4,11.94825
Model 2,11,1.2,0.5,9.579
Model 2,12,1.2,0.2,21.15080556
Model 2,12,1.2,0.3,14.13511111
Model 2,12,1.2,0.4,10.62811111
Model 2,12,1.2,0.5,8.524083333
Model 2,13,1.2,0.2,18.54694444
Model 2,13,1.2,0.3,12.39844444
Model 2,13,1.2,0.4,9.323666667
Model 2,13,1.2,0.5,7.480277778
Model 2,14,1.2,0.2,16.05241667
Model 2,14,1.2,0.3,10.73308333
Model 2,14,1.2,0.4,8.073138889
Model 2,14,1.2,0.5,6.477694444
Model 2,15,1.2,0.2,13.6615
Model 2,15,1.2,0.3,9.136694444
Model 2,15,1.2,0.4,6.874666667
Model 2,15,1.2,0.5,5.517527778
Model 2,10,1.4,0.2,26.95544444
Model 2,10,1.4,0.3,18.00805556
Model 2,10,1.4,0.4,13.53269444
Model 2,10,1.4,0.5,10.84780556
Model 2,11,1.4,0.2,24.30388889
Model 2,11,1.4,0.3,16.23944444
Model 2,11,1.4,0.4,12.20580556
Model 2,11,1.4,0.5,9.785888889
Model 2,12,1.4,0.2,21.65516667
Model 2,12,1.4,0.3,14.47247222
Model 2,12,1.4,0.4,10.87975
Model 2,12,1.4,0.5,8.725722222
Model 2,13,1.4,0.2,19.02847222
Model 2,13,1.4,0.3,12.71988889
Model 2,13,1.4,0.4,9.563833333
Model 2,13,1.4,0.5,7.671722222
Model 2,14,1.4,0.2,16.50930556
Model 2,14,1.4,0.3,11.03819444
Model 2,14,1.4,0.4,8.301166667
Model 2,14,1.4,0.5,6.659611111
Model 2,15,1.4,0.2,14.08805556
Model 2,15,1.4,0.3,9.421472222
Model 2,15,1.4,0.4,7.087583333
Model 2,15,1.4,0.5,5.688
Model 2,10,1.6,0.2,27.47986111
Model 2,10,1.6,0.3,18.35572222
Model 2,10,1.6,0.4,13.79380556
Model 2,10,1.6,0.5,11.05719444
Model 2,11,1.6,0.2,24.82138889
Model 2,11,1.6,0.3,16.5835
Model 2,11,1.6,0.4,12.46386111
Model 2,11,1.6,0.5,9.992611111
Model 2,12,1.6,0.2,22.15861111
Model 2,12,1.6,0.3,14.80644444
Model 2,12,1.6,0.4,11.13058333
Model 2,12,1.6,0.5,8.927222222
Model 2,13,1.6,0.2,19.50972222
Model 2,13,1.6,0.3,13.03944444
Model 2,13,1.6,0.4,9.804583333
Model 2,13,1.6,0.5,7.863805556
Model 2,14,1.6,0.2,16.96433333
Model 2,14,1.6,0.3,11.34136111
Model 2,14,1.6,0.4,8.529722222
Model 2,14,1.6,0.5,6.842555556
Model 2,15,1.6,0.2,14.51325
Model 2,15,1.6,0.3,9.70525
Model 2,15,1.6,0.4,7.301111111
Model 2,15,1.6,0.5,5.858166667
Model 2,10,1.8,0.2,28.00147222
Model 2,10,1.8,0.3,18.70497222
Model 2,10,1.8,0.4,14.05544444
Model 2,10,1.8,0.5,11.26625
Model 2,11,1.8,0.2,25.33638889
Model 2,11,1.8,0.3,16.92816667
Model 2,11,1.8,0.4,12.7225
Model 2,11,1.8,0.5,10.19902778
Model 2,12,1.8,0.2,22.66097222
Model 2,12,1.8,0.3,15.14291667
Model 2,12,1.8,0.4,11.38341667
Model 2,12,1.8,0.5,9.128583333
Model 2,13,1.8,0.2,19.9905
Model 2,13,1.8,0.3,13.36122222
Model 2,13,1.8,0.4,10.04575
Model 2,13,1.8,0.5,8.056222222
Model 2,14,1.8,0.2,17.41958333
Model 2,14,1.8,0.3,11.6455
Model 2,14,1.8,0.4,8.757638889
Model 2,14,1.8,0.5,7.024972222
Model 2,15,1.8,0.2,14.93888889
Model 2,15,1.8,0.3,9.988722222
Model 2,15,1.8,0.4,7.514166667
